timeindex,wind-profile-LA,pv-profile-LA,wind-profile-KH,pv-profile-KH,wind-profile-MM,pv-profile-MM,wind-profile-TH,pv-profile-TH,wind-profile-VN,pv-profile-VN
2050-01-03T15:00:00Z,0.043,0,0.165,0,0.058,0,0.004,0,0.155,0
2050-01-03T16:00:00Z,0.049,0,0.178,0,0.077,0,0.005,0,0.146,0
2050-01-03T17:00:00Z,0.058,0,0.199,0,0.084,0,0.004,0,0.137,0
2050-01-03T18:00:00Z,0.051,0,0.197,0,0.078,0,0.001,0,0.137,0
2050-01-03T19:00:00Z,0.042,0,0.181,0,0.069,0,0,0,0.125,0
2050-01-03T20:00:00Z,0.028,0,0.155,0,0.065,0,0,0,0.121,0
2050-01-03T21:00:00Z,0.035,0,0.131,0,0.065,0,0.009,0,0.112,0
2050-01-03T22:00:00Z,0.054,0,0.113,0,0.072,0,0.084,0,0.112,0
2050-01-03T23:00:00Z,0.078,0,0.104,0.017,0.081,0,0.237,0,0.092,0.054
2050-01-04T00:00:00Z,0.077,0.086,0.032,0.226,0.077,0.092,0.286,0.151,0.168,0.274
2050-01-04T01:00:00Z,0.151,0.284,0.091,0.438,0.02,0.354,0.192,0.379,0.201,0.504
2050-01-04T02:00:00Z,0.12,0.436,0.067,0.59,0.006,0.545,0.186,0.55,0.191,0.648
2050-01-04T03:00:00Z,0.059,0.616,0.035,0.695,0,0.66,0.103,0.646,0.203,0.721
2050-01-04T04:00:00Z,0.015,0.644,0.02,0.73,0,0.728,0.049,0.703,0.238,0.749
2050-01-04T05:00:00Z,0.001,0.637,0.02,0.718,0,0.751,0.029,0.71,0.282,0.726
2050-01-04T06:00:00Z,0,0.581,0.025,0.666,0,0.728,0.023,0.657,0.341,0.667
2050-01-04T07:00:00Z,0.001,0.479,0.034,0.558,0,0.661,0.023,0.569,0.417,0.546
2050-01-04T08:00:00Z,0.003,0.343,0.052,0.4,0,0.543,0.028,0.428,0.501,0.378
2050-01-04T09:00:00Z,0.01,0.162,0.078,0.193,0,0.365,0.04,0.234,0.514,0.173
2050-01-04T10:00:00Z,0.027,0.007,0.111,0.016,0,0.125,0.067,0.048,0.447,0.003
2050-01-04T11:00:00Z,0.041,0,0.206,0,0.009,0,0.104,0,0.387,0
2050-01-04T12:00:00Z,0.038,0,0.262,0,0.041,0,0.13,0,0.332,0
2050-01-04T13:00:00Z,0.029,0,0.309,0,0.079,0,0.133,0,0.317,0
2050-01-04T14:00:00Z,0.017,0,0.37,0,0.1,0,0.133,0,0.293,0
2050-01-04T15:00:00Z,0.01,0,0.399,0,0.113,0,0.159,0,0.272,0
2050-01-04T16:00:00Z,0.01,0,0.302,0,0.132,0,0.227,0,0.252,0
2050-01-04T17:00:00Z,0.012,0,0.211,0,0.121,0,0.308,0,0.239,0
2050-01-04T18:00:00Z,0.013,0,0.166,0,0.1,0,0.393,0,0.231,0
